wk,day,date,time,result,home,away,attendance,venue,referee,match_report,season,mean_points_home,mean_score_home,mean_points_away,mean_score_away,b365h,b365d,b365a,bwh,bwd,bwa,iwh,iwd,iwa,psh,psd,psa,whh,whd,wha,vch,vcd,vca,max_h,max_d,max_a,avg_h,avg_d,avg_a,bet,wager_h,wager_d,wager_a,wager_total,profit,cum_profit
4,Sun,2019-09-15,12:00 (05:00),A,Eibar,Espanyol,5410,Estadio Municipal de Ipurúa,Valentín Pizarro,Match Report,2019,1.75,1.25,1.5,1.25,2,3.3,4,1.95,3.3,4.25,1.95,3.35,4.15,1.97,3.39,4.42,1.95,3.3,4.33,2,3.3,4.1,2.1,3.46,4.45,1.97,3.34,4.21,1,0.4810359910022495,0.2919582604348913,0.2270057485628593,1.0000000000000002,0.01017558110472394,0.1414058997820864
5,Sat,2019-09-21,15:30 (08:30),H,Hertha BSC,Paderborn 07,43588,Olympiastadion Berlin,Frank Willenborg,Match Report,2019,1,1,0.5,1.5,1.7,4,4.75,1.7,4,4.75,1.8,3.9,4.1,1.74,4.05,4.76,1.73,4,4.6,1.73,4.2,4.33,1.8,4.2,4.95,1.73,4.02,4.54,1,0.5579710144927537,0.2391304347826087,0.20289855072463767,1,0.004347826086956719,0.14575372586904312
4,Sun,2019-09-22,12:30 (05:30),H,Sassuolo,SPAL,10937,Stadio Città del Tricolore,Maurizio Mariani,Match Report,2019,1.5,1.5,1.5,2.5,1.95,3.3,4.2,1.95,3.6,3.8,1.95,3.6,3.8,1.96,3.69,4.06,1.95,3.5,3.8,1.95,3.5,4.1,2.05,3.7,4.2,1.97,3.55,3.88,1,0.4896801638569403,0.2713092799747912,0.23901055616826847,1,0.003844335906727503,0.14959806177577062
6,Sun,2019-09-22,14:00 (08:00),H,West Ham,Manchester Utd,59936,London Stadium,Anthony Taylor,Match Report,2019,1.75,1.75,0.75,0.75,3.1,3.6,2.2,3.25,3.6,2.15,3.4,3.5,2.1,3.33,3.56,2.24,3.2,3.6,2.2,3.2,3.7,2.25,3.45,3.72,2.28,3.24,3.59,2.21,1,0.2906489020478658,0.269553417221811,0.4397976807303232,1,0.0027387120651369834,0.1523367738409076
5,Tue,2019-09-24,21:00 (14:00),A,Brescia,Juventus,14000,Stadio Mario Rigamonti,Fabrizio Pasqua,Match Report,2019,0,3,1,0.25,6.5,4.1,1.53,6.75,4,1.53,6.7,4,1.53,6.44,4.06,1.58,6.5,3.9,1.53,6.5,3.75,1.6,7.1,4.2,1.62,6.33,4,1.57,1,0.14137888043884803,0.23899763121805262,0.6196234883430993,1,0.0037900511158208694,0.15612682495672847
7,Tue,2019-09-24,21:00 (14:00),H,Monaco,Nice,9358,Stade Louis II.,Mikael Lesage,Match Report,2019,1,1.75,1.5,1.25,2,3.5,3.8,2,3.5,3.75,2.1,3.35,3.6,2.01,3.59,3.96,1.95,3.5,3.9,1.95,3.5,3.8,2.1,3.72,4.1,1.98,3.54,3.83,1,0.4815305929153249,0.2718317863231673,0.2466376207615079,1.0000000000000002,0.011214245122182387,0.16734107007891086
6,Sat,2019-09-28,15:30 (08:30),A,Hoffenheim,M'Gladbach,29030,PreZero Arena,Harm Osmers,Match Report,2019,0.75,1,2.25,2,2.5,3.5,2.75,2.45,3.5,2.8,2.6,3.5,2.6,2.43,3.69,2.88,2.4,3.6,2.8,2.45,3.6,2.8,2.6,3.75,2.89,2.43,3.61,2.79,1,0.3856555699873672,0.26738786185790797,0.34695656815472486,1,0.0027044819671548925,0.17004555204606575
6,Sun,2019-09-29,18:00 (11:00),D,Cagliari,Hellas Verona,15846,Sardegna Arena,Manuel Volpi,Match Report,2019,0.75,1.25,1.5,1,2.05,3.3,3.75,2.05,3.3,3.8,2.1,3.3,3.75,2.08,3.5,3.82,2,3.4,3.8,2,3.13,4,2.2,3.5,4,2.08,3.35,3.72,1,0.4590163934426229,0.28852459016393445,0.2524590163934426,1,0.009836065573770592,0.17988161761983634
7,Sat,2019-10-05,15:30 (08:30),A,Paderborn 07,Mainz 05,14217,Benteler-Arena,Patrick Ittrich,Match Report,2019,0,1.3333333333333333,0.75,1,2.5,3.5,2.8,2.55,3.6,2.65,2.6,3.5,2.6,2.53,3.87,2.67,2.5,3.75,2.62,2.45,3.8,2.7,2.6,3.9,2.8,2.49,3.75,2.64,1,0.38532110091743116,0.2568807339449541,0.3577981651376147,1,0.0018348623853210455,0.1817164800051574
7,Sun,2019-10-06,13:30 (06:30),H,M'Gladbach,Augsburg,50352,Stadion im Borussia-Park,Robert Schröder,Match Report,2019,1,0.75,0.25,1.25,1.5,4.33,6.5,1.53,4.4,6,1.55,4.55,5.5,1.54,4.66,5.95,1.52,4.5,5.8,1.5,4.6,5.4,1.6,4.75,6.5,1.53,4.53,5.75,1,0.6317135549872123,0.21278772378516625,0.15549872122762148,1,0.010741687979539671,0.19245816798469706
