wk,day,date,time,result,home,away,attendance,venue,referee,match_report,season,mean_points_home,mean_score_home,mean_points_away,mean_score_away,b365h,b365d,b365a,bwh,bwd,bwa,iwh,iwd,iwa,psh,psd,psa,whh,whd,wha,vch,vcd,vca,max_h,max_d,max_a,avg_h,avg_d,avg_a,bet,wager_h,wager_d,wager_a,wager_total,profit,cum_profit
20,Sat,2020-02-01,15:30 (08:30),D,Düsseldorf,Eint Frankfurt,45018,Merkur Spielarena,Frank Willenborg,Match Report,2020,0,0,3,2,3.5,3.6,2.05,3.3,3.7,2.1,3.35,3.7,2.05,3.37,3.81,2.11,3.3,3.8,2.05,3.3,3.8,2.1,3.54,3.9,2.2,3.35,3.71,2.08,1,0.28435076555975347,0.258103002585007,0.4575462318552396,1.0000000000000002,0.006601710081527434,0.39670411061913025
22,Sat,2020-02-01,15:00 (08:00),H,Bologna,Brescia,21665,Stadio Renato Dall'Ara,Daniele Doveri,Match Report,2020,1,1,0,1,1.66,4,5,1.7,4.1,4.6,1.7,4,4.75,1.7,4.13,4.92,1.65,4,4.8,1.7,3.8,5.2,1.77,4.2,5.2,1.69,4.01,4.79,1,0.5675970684547014,0.2392016217059099,0.19320130983938877,1,0.004646811164821463,0.4013509217839517
22,Sun,2020-02-02,15:00 (08:00),D,Milan,Hellas Verona,55355,Stadio Giuseppe Meazza,Daniele Chiffi,Match Report,2020,2,1.5,2,1.5,1.66,3.6,5.75,1.62,3.8,5.75,1.67,3.75,5.5,1.66,3.69,6.24,1.6,3.75,5.8,1.6,3.6,5.75,1.69,3.94,6.5,1.64,3.72,5.85,1,0.5920894445780236,0.2539672998316903,0.1539432555902861,1,6.31161336859698e-4,0.4019820831208114
25,Sun,2020-02-02,16:30 (10:30),H,Tottenham,Manchester City,61022,Tottenham Hotspur Stadium,Mike Dean,Match Report,2020,1.5,1,3,3.5,5.5,4.6,1.53,5.75,4.5,1.53,5.3,4.4,1.57,5.7,4.48,1.58,5.8,4.33,1.55,5.75,4.5,1.53,6,4.75,1.62,5.64,4.45,1.56,1,0.16759229010127413,0.2116955243384515,0.6207121855602744,1,0.005553740607644908,0.4075358237284563
24,Sat,2020-02-08,20:00 (13:00),A,Nice,Nîmes,15603,Stade de Nice,Antony Gautier,Match Report,2020,2,1.5,0,1,1.95,3.5,4,1.95,3.5,4,1.95,3.5,4,1.95,3.62,4.11,1.91,3.5,4,1.91,3.4,4.1,2.06,3.65,4.2,1.94,3.5,3.96,1,0.4866512174216691,0.27465794736675025,0.23869083521158058,1,0.0025015078886385655,0.4100373316170949
26,Mon,2020-02-17,20:00 (14:00),A,Chelsea,Manchester Utd,40504,Stamford Bridge,Anthony Taylor,Match Report,2020,2,2.5,0,0,1.85,3.5,4.5,1.87,3.5,4.33,1.85,3.6,4.3,1.86,3.7,4.53,1.85,3.6,4.33,1.85,3.6,4.33,1.93,3.8,4.6,1.86,3.6,4.35,1,0.5188175234477026,0.26350468954054374,0.21767778701175353,0.9999999999999999,0.0013178202540662376,0.4113551518711611
23,Sat,2020-02-22,15:30 (08:30),A,Freiburg,Düsseldorf,24000,Schwarzwald-Stadion,Frank Willenborg,Match Report,2020,1.5,0.5,0.5,0.5,1.9,3.8,4,1.91,3.7,3.9,2,3.5,3.7,1.93,3.88,3.93,1.91,3.7,3.9,1.93,3.75,3.9,2.05,3.9,4.05,1.93,3.7,3.87,1,0.4921710680065436,0.2587053049777986,0.24912362701565788,1,0.00895068941341437,0.4203058412845755
23,Sat,2020-02-22,15:30 (08:30),D,M'Gladbach,Hoffenheim,50250,Stadion im Borussia-Park,Felix Brych,Match Report,2020,3,3,1.5,1.5,1.61,4,5.25,1.62,4.1,5.25,1.65,4.3,4.75,1.64,4.3,5.17,1.65,4,5.25,1.67,4.2,4.8,1.7,4.5,5.35,1.64,4.21,4.94,1,0.5897844194022538,0.22280744732974034,0.1874081332680059,1,0.0026335129838315208,0.422939354268407
24,Sat,2020-02-29,15:30 (08:30),H,Mainz 05,Paderborn 07,24231,Opel Arena,Harm Osmers,Match Report,2020,0.3333333333333333,0.6666666666666666,1.3333333333333333,1.6666666666666667,1.83,4,4,1.8,3.9,4.2,1.9,3.8,3.75,1.88,3.97,4.02,1.83,4,4,1.83,4,4,1.91,4.1,4.31,1.84,3.95,3.96,1,0.5238319682457809,0.2440290388657175,0.23213899288850154,1,5.190593494415197e-4,0.42345841361784853
24,Sat,2020-02-29,15:30 (08:30),A,Hoffenheim,Bayern Munich,30150,PreZero Arena,Christian Dingert,Match Report,2020,1,1.6666666666666667,3,3.6666666666666665,7,5.75,1.36,6.5,5.5,1.4,6.5,5.5,1.4,6.68,5.25,1.41,7.5,5.25,1.38,6.5,5.5,1.4,7.6,5.85,1.45,6.85,5.41,1.39,1,0.13261676763728747,0.17228845026382647,0.695094782098886,0.9999999999999999,0.007887434043384545,0.4313458476612331
28,Sat,2020-02-29,15:00 (09:00),D,Newcastle Utd,Burnley,52219,St. James' Park,Andy Madley,Match Report,2020,1.3333333333333333,0.3333333333333333,2,1.3333333333333333,2.62,3.1,2.9,2.55,3.1,3,2.6,3.1,2.9,2.7,3.14,2.92,2.62,3.1,2.88,2.7,3.1,2.9,2.8,3.24,3,2.64,3.11,2.9,1,0.3574580759046779,0.30891438658428944,0.33362753751103275,1,8.826125330978485e-4,0.4322284601943309
28,Sun,2020-03-01,14:00 (08:00),D,Everton,Manchester Utd,39374,Goodison Park,Chris Kavanagh,Match Report,2020,2.3333333333333335,2,1,0.6666666666666666,2.5,3.25,2.9,2.5,3.4,2.8,2.55,3.3,2.85,2.56,3.42,2.88,2.55,3.3,2.8,2.5,3.3,2.88,2.72,3.45,2.95,2.54,3.33,2.85,1,0.36894382918562285,0.29087745373475193,0.3401787170796252,1,0.0035272153848942,0.4357556755792251
25,Sun,2020-03-08,18:00 (12:00),D,Mainz 05,Düsseldorf,21409,Opel Arena,Harm Osmers,Match Report,2020,1,1,1.3333333333333333,1,1.9,3.75,3.8,1.91,3.8,3.75,1.87,3.9,3.85,1.9,3.94,3.96,1.88,3.8,3.9,1.83,3.9,3.7,2,4,4.08,1.89,3.86,3.82,1,0.5024630541871921,0.25123152709359603,0.2463054187192118,0.9999999999999998,0.004926108374384119,0.44068178395360924
27,Fri,2020-05-22,20:30 (13:30),H,Hertha BSC,Union Berlin,NA,Olympiastadion Berlin,Harm Osmers,Match Report,2020,0.5,0.75,1.5,1.25,2.3,3.4,3,2.35,3.3,3.1,2.3,3.3,3.15,2.43,3.4,3.16,2.35,3.4,3,2.4,3.4,3,2.45,3.54,3.28,2.36,3.37,3.09,1,0.4099971045402222,0.2837550582269899,0.3062478372327879,1,0.00449290612354436,0.4451746900771536
28,Wed,2020-05-27,18:30 (11:30),D,RB Leipzig,Hertha BSC,NA,Red Bull Arena,Bastian Dankert,Match Report,2020,1.5,1.75,2.5,2.5,1.3,5.5,6,1.34,5.5,8.25,1.37,5.2,7.6,1.37,5.53,8.17,1.32,5.5,9,1.33,5.75,8,1.37,6.05,9.9,1.35,5.49,8.07,1,0.7326919195317231,0.16591536029065465,0.10139272017762228,1,0.003787929758460651,0.44896261983561425
28,Wed,2020-05-27,20:30 (13:30),H,Hoffenheim,Köln,NA,PreZero Arena,Felix Brych,Match Report,2020,0.75,1,1.5,2.25,2.3,3.6,2.8,2.4,3.6,2.8,2.45,3.7,2.7,2.53,3.71,2.72,2.45,3.7,2.7,2.45,3.75,2.7,2.56,3.96,2.88,2.46,3.65,2.72,1,0.3944223107569721,0.2549800796812749,0.35059760956175295,1,0.00972111553784849,0.45868373537346274
29,Fri,2020-05-29,20:30 (13:30),A,Freiburg,Leverkusen,NA,Schwarzwald-Stadion,Marco Fritz,Match Report,2020,1.5,1,2.5,2.75,4.75,4.2,1.66,4.75,4,1.7,4.2,4.1,1.75,4.83,4.24,1.71,4.6,4.2,1.7,4.6,4.2,1.7,4.92,4.4,1.77,4.68,4.14,1.7,1,0.20417151665775315,0.22830087771730578,0.567527605624941,0.9999999999999999,0.004523861956145625,0.46320759732960837
29,Mon,2020-06-01,20:30 (13:30),A,Köln,RB Leipzig,NA,RheinEnergieSTADION,Christian Dingert,Match Report,2020,1.25,2,2,2.5,5.5,4.6,1.53,5.5,4.5,1.5,5,4.4,1.6,5.81,4.63,1.55,5.8,4.6,1.52,5,4.6,1.53,6.2,4.9,1.6,5.54,4.61,1.54,1,0.16285832987120896,0.20606564187785623,0.6310760282509348,1,0.009721645201495654,0.472929242531104
28,Thu,2020-06-11,22:00 (15:00),H,Sevilla,Betis,NA,Estadio Ramón Sánchez Pizjuán,Antonio Matéu Lahoz,Match Report,2020,2,2,0.5,0.5,1.8,3.75,4.33,1.83,3.7,4.25,1.9,3.5,4.1,1.87,3.76,4.43,1.8,3.7,4.5,1.83,3.7,4.2,1.92,3.88,4.8,1.85,3.68,4.35,1,0.5277475516866159,0.2611534276387378,0.21109902067464636,1,0.013275299238302507,0.48620454176940653
31,Sat,2020-06-13,15:30 (08:30),D,Wolfsburg,Freiburg,NA,Volkswagen Arena,Bastian Dankert,Match Report,2020,1,1.25,0.75,1.25,1.7,3.8,4.75,1.72,3.9,4.75,1.7,3.9,4.75,1.71,4.11,4.97,1.7,4,4.75,1.67,4,4.5,1.77,4.25,5.1,1.71,3.96,4.77,1,0.56704469646430955,0.2361574382921948,0.19679786524349568,1,0.003669112741827796,0.4898736545112343
28,Sat,2020-06-13,22:00 (15:00),A,Mallorca,Barcelona,NA,Iberostar Estadi,Carlos del Cerro,Match Report,2020,1.5,1.25,1,1.25,10,5.75,1.28,9.5,6,1.28,9.9,6,1.28,9.96,6.21,1.29,10,6,1.27,10.5,6,1.25,11,6.7,1.32,9.91,6,1.28,1,0.09111514052583862,0.14959202175883954,0.7592928377153217,0.9999999999999999,0.002266545784224805,0.49214020029545913
28,Sun,2020-06-14,22:00 (15:00),D,Real Sociedad,Osasuna,NA,Estadio Municipal de Anoeta,Adrián Cordero,Match Report,2020,3,2.25,1,1.25,1.66,3.9,5,1.65,4,5.25,1.7,3.9,4.95,1.72,3.91,5.09,1.67,3.8,5.25,1.67,3.9,5,1.77,4.05,5.45,1.69,3.89,5.01,1,0.5675988428158149,0.24806171648987466,0.18433944069431052,1,0.004649951783992412,0.49679015207945154
29,Tue,2020-06-16,22:00 (15:00),H,Barcelona,Leganés,NA,Camp Nou,Juan Martínez,Match Report,2020,3,2.5,1,0.5,1.16,7.5,13,1.15,8.25,16.5,1.17,7.6,16.5,1.15,8.37,18.71,1.14,8,19,1.14,8,18,1.2,9.1,21,1.16,8.06,17.42,1,0.8410351201478743,0.11090573012939003,0.04805914972273568,1,0.009242144177449063,0.5060322962569006
33,Sat,2020-06-20,15:30 (08:30),A,Paderborn 07,M'Gladbach,NA,Benteler-Arena,Tobias Welz,Match Report,2020,0.25,1,1,1,9.5,6.5,1.25,8,5.75,1.3,11,6.1,1.25,10.13,6.25,1.3,11,6,1.27,10,6,1.29,12.25,6.6,1.31,9.86,6.06,1.28,1,0.08191882967686309,0.15204631265781407,0.7660348576653229,1,0.00350566354157289,0.5095379597984735
30,Sat,2020-06-20,19:30 (12:30),D,Getafe,Eibar,NA,Coliseum Alfonso Pérez,Alberola Rojas,Match Report,2020,1.25,0.75,0.25,0.5,1.8,3.4,5,1.83,3.4,4.75,1.8,3.35,4.95,1.84,3.45,5.18,1.8,3.4,5,1.8,3.3,5,1.91,3.49,5.35,1.82,3.37,4.95,1,0.5251308502948877,0.2873925283848813,0.18747662132023096,1,0.0029999240632356816,0.5125378838617092
25,Sun,2020-06-21,19:30 (12:30),H,Atalanta,Sassuolo,NA,Stadio Atleti Azzurri d'Italia,Daniele Chiffi,Match Report,2020,1.75,2.5,1,0.75,1.33,5.5,8,1.33,5.5,7.25,1.36,5.4,7.8,1.36,5.67,8.42,1.32,5.25,9,1.3,5.25,9,1.4,5.85,9.5,1.35,5.4,8.17,1,0.7211444884188671,0.1725815869720366,0.10627392460909621,1,0.009602283786414034,0.5221401676481232
30,Sun,2020-06-21,22:00 (15:00),A,Real Sociedad,Real Madrid,NA,Estadio Municipal de Anoeta,Javier Estrada,Match Report,2020,2.5,1.75,1.5,1.5,4.1,4.2,1.75,4.1,4,1.8,4.2,4.1,1.77,4.24,4.36,1.78,4.2,4.2,1.75,4.2,4,1.75,4.5,4.36,1.84,4.16,4.14,1.77,1,0.2233258356902657,0.2304968487628889,0.5461773155468455,1,0.00496626060619576,0.527106428254319
27,Tue,2020-06-23,21:45 (14:45),A,Genoa,Parma,NA,Stadio Comunale Luigi Ferraris,Piero Giacomelli,Match Report,2020,1.5,1.5,1.25,1.25,2.15,3.3,3.5,2.2,3.3,3.4,2.2,3.3,3.45,2.24,3.36,3.55,2.15,3.3,3.4,2.25,3.2,3.5,2.29,3.5,3.65,2.21,3.29,3.45,1,0.43827298145702176,0.2867557507247371,0.2749712678182411,0.9999999999999999,0.003645127536580084,0.530751555790899
27,Wed,2020-06-24,21:45 (14:45),H,Atalanta,Lazio,NA,Stadio Atleti Azzurri d'Italia,Daniele Orsato,Match Report,2020,1.75,2.25,2.5,1.75,2.1,3.8,3.2,2.1,3.7,3.3,2.1,3.75,3.25,2.12,3.81,3.35,2.1,3.7,3.2,2.1,3.6,3.4,2.24,3.98,3.4,2.12,3.73,3.23,1,0.45011841720109635,0.2533329785252401,0.29654860427366353,1,0.008265254530456012,0.5390168103213551
27,Wed,2020-06-24,21:45 (14:45),H,Roma,Sampdoria,NA,Stadio Olimpico,Giampaolo Calvarese,Match Report,2020,1,2,1,1.25,1.44,4.5,6.5,1.48,4.6,6.25,1.48,4.55,6.4,1.48,4.64,6.91,1.44,4.4,7,1.44,4.5,7.5,1.52,4.85,7.5,1.47,4.56,6.64,1,0.6596007035740837,0.20672022050156855,0.13367907592434766,1,0.0025930694326072867,0.5416098797539624
31,Thu,2020-06-25,18:00 (12:00),A,Southampton,Arsenal,NA,St. Mary's Stadium,Graham Scott,Match Report,2020,0.75,1.25,0.5,0.75,2.6,3.5,2.62,2.65,3.4,2.65,2.6,3.45,2.65,2.69,3.53,2.67,2.6,3.5,2.62,2.63,3.5,2.63,2.75,3.65,2.8,2.64,3.47,2.65,1,0.3655548600554413,0.2754180452472503,0.3590270946973084,1,0.005275865152463588,0.5468857449064259
32,Fri,2020-06-26,22:00 (15:00),D,Sevilla,Valladolid,NA,Estadio Ramón Sánchez Pizjuán,Valentín Pizarro,Match Report,2020,2,1.75,0.75,0.75,1.4,4.4,9,1.42,4.33,8.75,1.45,4.3,7.6,1.44,4.43,9.03,1.4,4.4,9,1.4,4.2,9,1.47,4.7,10,1.43,4.32,8.86,1,0.6850413211094755,0.2142576046874317,0.10070107420309289,1,0.007010742030929107,0.553896486937355
34,Sat,2020-06-27,15:30 (08:30),H,Werder Bremen,Köln,NA,Weserstadion,Bastian Dankert,Match Report,2020,0.25,0,0.25,1,1.57,4.2,5.25,1.62,4.33,5,1.63,4.4,4.8,1.65,4.43,4.91,1.6,4.33,5.25,1.6,4.6,5,1.68,4.6,5.55,1.62,4.36,4.93,1,0.5995491052557418,0.2189657601803579,0.18148513456390022,0.9999999999999999,0.007242496829646061,0.5611389837670011
32,Mon,2020-06-29,20:00 (14:00),A,Crystal Palace,Burnley,NA,Selhurst Park,Simon Hooper,Match Report,2020,1.5,0.5,1.75,1,2.25,3.2,3.4,2.25,3.2,3.4,2.3,3.1,3.35,2.37,3.18,3.41,2.3,3.2,3.3,2.25,3.1,3.5,2.42,3.32,3.55,2.29,3.16,3.41,1,0.4148334823345558,0.30237862266554977,0.28278789499989443,1,0.0038970272496252623,0.5650360110166264
29,Tue,2020-06-30,21:45 (14:45),A,Genoa,Juventus,NA,Stadio Comunale Luigi Ferraris,Giampaolo Calvarese,Match Report,2020,0.75,1.25,1.5,1.5,8.5,5,1.36,9.25,4.75,1.36,8.5,4.5,1.4,9.93,4.7,1.4,10,4.6,1.35,11,4.8,1.33,11,5,1.42,9.31,4.7,1.38,1,0.09135357694287184,0.20097786927431804,0.70766855378281,0.9999999999999999,0.00488934637159022,0.5699253573882166
32,Tue,2020-06-30,20:15 (14:15),A,Brighton,Manchester Utd,NA,The American Express Community Stadium,Andre Marriner,Match Report,2020,1.25,1,1.25,1,6,3.8,1.61,6,3.8,1.62,6.1,3.85,1.6,6.61,3.92,1.62,6.5,3.9,1.57,7,3.9,1.57,7,4.1,1.64,6.31,3.85,1.61,1,0.14335664335664333,0.24475524475524477,0.6118881118881119,1,0.0034965034965033226,0.5734218608847199
33,Wed,2020-07-01,19:30 (12:30),A,Alavés,Granada,NA,Estadio de Mendizorroza,Eduardo Prieto,Match Report,2020,1.75,1.25,1.5,1.5,2.3,2.9,3.6,2.3,3,3.5,2.35,3,3.45,2.39,3.09,3.53,2.3,3,3.5,2.3,3.1,3.4,2.44,3.18,3.66,2.34,3.01,3.46,1,0.41085271317829464,0.31524547803617575,0.2739018087855297,1,0.002480620155038915,0.5759024810397588
33,Thu,2020-07-02,22:00 (15:00),H,Real Madrid,Getafe,NA,Estadio Alfredo Di Stéfano,Juan Martínez,Match Report,2020,3,2.5,1,1,1.36,4.75,8.5,1.36,5,9,1.4,4.75,8.3,1.39,4.93,9.39,1.35,4.8,9.5,1.36,4.8,8.5,1.42,5.2,10.56,1.38,4.83,8.76,1,0.7104560415674747,0.19400914981265655,0.09553480861986875,0.9999999999999999,0.008847579025814012,0.5847500600655728
32,Thu,2020-07-02,20:15 (14:15),H,Manchester City,Liverpool,NA,Etihad Stadium,Anthony Taylor,Match Report,2020,2.5,3,1.75,0.75,2.05,3.9,3.3,2.05,3.8,3.3,2.05,3.8,3.3,2.08,4.01,3.42,2.05,3.8,3.3,2.1,3.75,3.3,2.14,4.32,3.52,2.07,3.85,3.32,1,0.47543771885942976,0.23551775887943968,0.28904452226113053,1,0.017436718359179704,0.6021867784247525
34,Fri,2020-07-03,22:00 (15:00),H,Atlético Madrid,Mallorca,NA,Estadio Wanda Metropolitano,Alberola Rojas,Match Report,2020,2.5,2,0.75,0.75,1.28,5.25,11,1.3,5.5,10.5,1.33,4.8,11,1.3,5.5,11.87,1.27,5.5,12,1.3,5.25,10.5,1.33,5.95,12.75,1.3,5.39,11.01,1,0.7531010041346722,0.1683402244536326,0.07855877141169522,1,0.0016243354991141157,0.6038111139238667
33,Sat,2020-07-04,20:00 (14:00),H,Chelsea,Watford,NA,Stamford Bridge,Kevin Friend,Match Report,2020,2.25,2,0.25,0.25,1.4,4.75,8,1.42,4.5,8,1.45,4.55,7.4,1.43,4.6,8.69,1.38,4.6,9,1.44,4.6,8,1.46,4.9,9.3,1.43,4.61,7.96,1,0.6873095834213145,0.20479020240716717,0.10790021417151818,0.9999999999999999,0.003471991795119145,0.6072831057189858
34,Sun,2020-07-05,19:30 (12:30),D,Osasuna,Getafe,NA,Estadio El Sadar,Mario Melero,Match Report,2020,1.5,0.75,1,0.75,3.1,2.9,2.55,3,3,2.6,3.1,2.95,2.6,3.11,3.07,2.59,2.9,3,2.7,3,3,2.55,3.25,3.14,2.71,3.06,2.98,2.58,1,0.3091865023853731,0.32001787667275877,0.3707956209418681,1,0.00485613275246255,0.6121392384714484
34,Sun,2020-07-05,22:00 (15:00),A,Villarreal,Barcelona,NA,Estadio de la Cerámica,Carlos del Cerro,Match Report,2020,1.75,1.5,1.25,1.5,4.33,4,1.72,4.5,4.1,1.7,4.2,3.95,1.77,4.33,3.97,1.81,4.4,4,1.75,4.2,4,1.75,4.65,4.2,1.84,4.31,3.98,1.77,1,0.2157815379460546,0.23890098844027474,0.5453174736136707,1,0.0033841514491541602,0.6155233899206025
33,Sun,2020-07-05,14:15 (08:15),D,Newcastle Utd,West Ham,NA,St. James' Park,Craig Pawson,Match Report,2020,1.5,1,0,0.5,2.6,3.3,2.75,2.65,3.25,2.75,2.65,3.25,2.7,2.72,3.31,2.77,2.62,3.3,2.7,2.63,3.25,2.75,2.77,3.48,2.9,2.66,3.28,2.74,1,0.36348443701692085,0.2893252559013996,0.34719030708167964,1,0.006851890536870631,0.6223752804574731
31,Wed,2020-07-08,21:45 (14:45),H,Atalanta,Sampdoria,NA,Stadio Atleti Azzurri d'Italia,Antonio Giua,Match Report,2020,3,2.75,1.5,1.75,1.36,5.25,8,1.36,5.5,7.75,1.36,5.5,7.4,1.36,5.78,7.93,1.33,5.5,8.5,1.33,5.5,9,1.39,5.78,9.4,1.36,5.44,7.83,1,0.7202759564217933,0.1732151521498776,0.106508891428329,0.9999999999999999,0.001183579426292658,0.6235588598837658
31,Wed,2020-07-08,21:45 (14:45),H,Roma,Parma,NA,Stadio Olimpico,Michael Fabbri,Match Report,2020,1.5,2,1.75,2,1.5,4.5,6,1.5,4.4,6.25,1.5,4.4,6.2,1.53,4.31,6.59,1.5,4.33,6.5,1.5,4.33,7,1.57,4.74,7,1.51,4.38,6.29,1,0.6428762414796616,0.21293580150275715,0.14418795701758125,1,0.009315699123068732,0.6328745590068345
31,Wed,2020-07-08,21:45 (14:45),A,Bologna,Sassuolo,NA,Stadio Renato Dall'Ara,Francesco Fourneau,Match Report,2020,0.5,0.5,1.75,2.25,2.25,3.5,3,2.3,3.5,3,2.25,3.65,3,2.32,3.65,3.05,2.25,3.6,3.1,2.25,3.6,3.1,2.34,3.85,3.25,2.26,3.58,3.04,1,0.42959160901584464,0.2611024324927471,0.30930595849140813,1,0.0052443650970763755,0.6381189241039109
35,Wed,2020-07-08,22:00 (15:00),H,Barcelona,Espanyol,NA,Camp Nou,José Luis Munuera,Match Report,2020,2.5,1.5,0.25,0.25,1.14,8,19,1.15,8,18.5,1.15,7.8,18.5,1.14,8.55,22.52,1.11,9,26,1.12,9,21,1.16,10.25,31,1.14,8.41,20.7,1,0.8691192560175054,0.09835886214442013,0.0325218818380744,0.9999999999999999,0.008178336980306122,0.646297261084217
34,Wed,2020-07-08,20:15 (14:15),A,Brighton,Liverpool,NA,The American Express Community Stadium,Craig Pawson,Match Report,2020,1,0.75,1,0.25,6,4.33,1.53,5.75,4.33,1.55,5.9,4.2,1.55,6.08,4.3,1.58,6,4.2,1.55,6.5,4.2,1.55,6.5,4.45,1.62,5.99,4.26,1.56,1,0.15448739927995886,0.22565575175724328,0.6198568489627979,1,0.004168095319732723,0.6504653564039498
34,Thu,2020-07-09,18:00 (12:00),D,Everton,Southampton,NA,Goodison Park,Lee Mason,Match Report,2020,2,1.5,1.5,1.75,2.05,3.5,3.6,2,3.5,3.75,2.05,3.45,3.6,2.11,3.57,3.61,2.05,3.5,3.6,2.05,3.5,3.6,2.15,3.65,3.86,2.07,3.51,3.62,1,0.4659754262373699,0.27447867572886175,0.2595458980337682,0.9999999999999998,0.0018471664103454355,0.6523125228142952
35,Fri,2020-07-10,22:00 (15:00),H,Real Madrid,Alavés,NA,Estadio Alfredo Di Stéfano,Jesús Gil,Match Report,2020,3,2.25,0,0.25,1.2,6.5,13,1.2,7,13.5,1.25,5.9,12,1.22,6.41,14.81,1.22,6,15,1.22,6,13,1.26,7,16.75,1.22,6.33,13.66,1,0.7966706302021404,0.14340071343638525,0.05992865636147444,1,0.0038049940546969196,0.6561175168689921
35,Sat,2020-07-11,17:30 (11:30),H,Sheffield Utd,Chelsea,NA,Bramall Lane,Andre Marriner,Match Report,2020,2.5,1.5,1.75,2.25,6,3.8,1.6,6,3.75,1.62,5.8,3.9,1.6,6.14,3.95,1.63,6.5,3.9,1.57,6.5,3.9,1.6,6.8,4.15,1.65,6.07,3.93,1.6,1,0.1479341074804213,0.2423980556305698,0.6096678368890088,0.9999999999999999,0.005951930866864741,0.6620694477358569
35,Sat,2020-07-11,20:00 (14:00),A,Brighton,Manchester City,NA,The American Express Community Stadium,Graham Scott,Match Report,2020,0.75,0.75,0.75,0.5,10,5.5,1.28,10,5.5,1.3,9.6,5.6,1.3,10.19,5.83,1.31,11,5.5,1.29,12,5.5,1.29,12,6.05,1.35,9.95,5.62,1.31,1,0.08422925206899219,0.1670662850955217,0.748704462835486,0.9999999999999999,0.01075102482790613,0.672820472563763
32,Sun,2020-07-12,21:45 (14:45),D,Napoli,Milan,NA,Stadio San Paolo,Federico La Penna,Match Report,2020,2.25,2.25,2,2.5,2.05,3.5,3.5,2.1,3.25,3.5,2.15,3.45,3.35,2.18,3.45,3.5,2.1,3.5,3.5,2.1,3.3,3.4,2.2,3.68,3.7,2.12,3.43,3.46,1,0.45611684309259015,0.27267854750100495,0.27120460940640495,1,0.0034570548036982895,0.6762775273674613
35,Sun,2020-07-12,16:30 (10:30),H,Tottenham,Arsenal,NA,Tottenham Hotspur Stadium,Michael Oliver,Match Report,2020,1.75,1.5,1.5,1.25,2.62,3.4,2.7,2.65,3.4,2.65,2.6,3.45,2.65,2.68,3.51,2.69,2.6,3.4,2.7,2.6,3.4,2.7,2.75,4.48,2.83,2.6,3.48,2.68,1,0.3867618033672047,0.23740958912049392,0.37582860751230135,1,0.06359495925981307,0.7398724866272743
35,Mon,2020-07-13,20:00 (14:00),D,Manchester Utd,Southampton,NA,Old Trafford,Chris Kavanagh,Match Report,2020,3,3.25,1.75,2,1.3,5.5,10,1.28,6,10,1.3,5.5,9.7,1.28,5.99,11.75,1.27,5.8,11,1.29,5.5,11,1.33,6.3,12,1.29,5.73,10.41,1,0.7564614414793023,0.1596974154234083,0.08384114309728934,0.9999999999999999,0.006093717167472201,0.7459662037947465
37,Thu,2020-07-16,21:00 (14:00),D,Real Sociedad,Sevilla,NA,Estadio Municipal de Anoeta,Carlos del Cerro,Match Report,2020,0.75,1.25,2,2,2.37,3.3,2.9,2.4,3.4,2.95,2.4,3.35,2.9,2.4,3.52,3.01,2.45,3.4,2.9,2.4,3.4,2.88,2.55,3.6,3.08,2.41,3.42,2.91,1,0.3942820567527203,0.27928312353317686,0.3264348197141028,1,0.005419244719436778,0.7513854485141833
37,Thu,2020-07-16,21:00 (14:00),A,Mallorca,Granada,NA,Iberostar Estadi,Javier Estrada,Match Report,2020,1.75,2,2,1.75,2.05,3.4,3.5,2.05,3.4,3.7,2.05,3.4,3.65,2.06,3.59,3.74,2.05,3.5,3.6,2.1,3.4,3.5,2.17,3.74,3.85,2.06,3.47,3.63,1,0.4664504864055875,0.27064105762035423,0.2629084559740584,1.0000000000000002,0.012197555500124801,0.7635830040143081
37,Thu,2020-07-16,21:00 (14:00),A,Betis,Alavés,NA,Estadio Benito Villamarín,David Medié,Match Report,2020,1.75,1.5,0,0.25,2.3,3.3,3.1,2.35,3.2,3.2,2.35,3.25,3.15,2.39,3.32,3.19,2.4,3.2,3.1,2.3,3.3,3.13,2.51,3.36,3.3,2.35,3.25,3.16,1,0.398782935197773,0.29790034742452687,0.3033167173777001,1,9.451673464102583e-4,0.7645281713607184
36,Thu,2020-07-16,18:00 (12:00),D,Everton,Aston Villa,NA,Goodison Park,Anthony Taylor,Match Report,2020,1.5,1,0.25,0.25,2,3.5,3.75,1.95,3.6,3.8,2,3.55,3.65,2.05,3.61,3.78,2,3.6,3.7,2,3.5,3.8,2.1,3.74,3.94,2.02,3.57,3.74,1,0.4774426832903485,0.268082790082816,0.2544745266268355,1,0.0026296349097318927,0.7671578062704503
38,Sun,2020-07-19,21:00 (14:00),H,Levante,Getafe,NA,Estadio Ciudad de Valencia,Ricardo de Burgos,Match Report,2020,1,1.5,0.75,0.25,5,3.8,1.66,5,3.6,1.7,4.75,3.5,1.8,5.14,3.41,1.83,4.8,3.7,1.75,4.75,3.6,1.75,5.8,3.9,1.87,4.86,3.55,1.77,1,0.17892980691381044,0.2661007384872053,0.5549694545989843,1,0.03779288010010062,0.8049506863705509
